team_id,team_name,obp
109,Arizona Diamondbacks,0.285
133,Athletics,0.306
144,Atlanta Braves,0.328
110,Baltimore Orioles,0.330
111,Boston Red Sox,0.311
112,Chicago Cubs,0.315
145,Chicago White Sox,0.273
113,Cincinnati Reds,0.298
114,Cleveland Guardians,0.313
115,Colorado Rockies,0.307
116,Detroit Tigers,0.321
117,Houston Astros,0.377
118,Kansas City Royals,0.311
108,Los Angeles Angels,0.315
119,Los Angeles Dodgers,0.372
146,Miami Marlins,0.329
158,Milwaukee Brewers,0.342
142,Minnesota Twins,0.329
121,New York Mets,0.313
147,New York Yankees,0.311
143,Philadelphia Phillies,0.305
134,Pittsburgh Pirates,0.329
135,San Diego Padres,0.296
137,San Francisco Giants,0.291
136,Seattle Mariners,0.302
138,St. Louis Cardinals,0.324
139,Tampa Bay Rays,0.327
140,Texas Rangers,0.286
141,Toronto Blue Jays,0.312
120,Washington Nationals,0.344
